t,nll,accuracy
0.0,0.017226831045746804,99.72
0.03333333333333333,0.02200166602730751,99.6
0.06666666666666667,0.026152166509628295,99.44
0.1,0.028997466135025025,99.44
0.13333333333333333,0.03956980457305908,99.1
0.16666666666666666,0.05164062687158585,98.76
0.2,0.07479819917678833,97.98
0.23333333333333334,0.11417947239875793,96.6
0.26666666666666666,0.17804104256629943,94.62
0.3,0.27304267578125,91.52
0.3333333333333333,0.4628008983612061,85.42
0.36666666666666664,0.7678706373214722,74.36
0.4,1.22955121383667,57.44
0.43333333333333335,1.8669318759918212,34.46
0.4666666666666667,2.3874387725830077,19.12
0.5,2.5372030757904054,15.78
0.5333333333333333,2.2704612281799315,22.5
0.5666666666666667,1.7605068649291993,38.46
0.6,1.1755041019439698,59.14
0.6333333333333333,0.7448091875076294,74.94
0.6666666666666666,0.47748518085479735,84.26
0.7,0.2975458821773529,90.48
0.7333333333333333,0.19729383974075318,93.72
0.7666666666666666,0.12704974899291993,96.34
0.8,0.08427646074295043,97.6
0.8333333333333334,0.06105241641998291,98.44
0.8666666666666667,0.04778806591033936,99.0
0.9,0.03374486436843872,99.18
0.9333333333333333,0.02765893485546112,99.42
0.9666666666666667,0.023186604166030883,99.48
1.0,0.021247817587852477,99.52
