t,nll,accuracy
0.0,0.2602876832962036,91.02
0.03333333333333333,0.257915385723114,90.9
0.06666666666666667,0.2747361795425415,90.74
0.1,0.3017726467132568,89.88
0.13333333333333333,0.35788636980056765,88.1
0.16666666666666666,0.4270797432899475,85.62
0.2,0.5457288654327392,81.24
0.23333333333333334,0.6767759780883789,76.94
0.26666666666666666,0.9258193866729736,67.78
0.3,1.2136699657440186,57.04
0.3333333333333333,1.563712969970703,45.32
0.36666666666666664,1.9531347869873046,33.3
0.4,2.3396353256225586,24.2
0.43333333333333335,2.7101977653503417,17.8
0.4666666666666667,2.9520422294616697,14.74
0.5,3.2064580841064454,13.06
0.5333333333333333,3.3434556938171385,12.58
0.5666666666666667,3.297671349334717,13.48
0.6,3.1023817039489745,15.56
0.6333333333333333,2.664900375366211,20.7
0.6666666666666666,2.100911584854126,32.48
0.7,1.5525312599182128,47.52
0.7333333333333333,1.0799208995819092,63.02
0.7666666666666666,0.7740065517425537,73.56
0.8,0.5731593618392944,80.26
0.8333333333333334,0.452834077835083,84.88
0.8666666666666667,0.37423104591369627,87.82
0.9,0.31692759218215943,89.3
0.9333333333333333,0.29054509658813477,90.12
0.9666666666666667,0.25878217039108276,91.7
1.0,0.26115538711547853,91.16
